ID	[ADD CALENDAR ID HERE]
Name	StartTime	EndTime	TimeZone	Location	Description	MoreDetails	IsScheduled
Kamala Scholars Reception (Invite Only)	Wednesday, October 2, 2019 4:00 PM	Wednesday, October 2, 2019 5:00 PM	UTC-4	OCCC WE2	Audience Level: Invite Only | Track: Invite Only | Start Date: Wednesday, October 2, 2019 | Start Time: 4:00 PM | End Time: 5:00 PM | Location: OCCC WE2	The kick off event for Kamala Scholars to connect, who are a select group of GHC Scholars. This event allows scholars to meet their sponsor, build community, and find mentorship. The reception includes heavy appetizers.	N
IW711: Talking Cars: What Cartoons Got Right About Intervehicular Communication	Wednesday, October 2, 2019 4:00 PM	Wednesday, October 2, 2019 4:30 PM	UTC-4	OCCC W222B	Audience Level: Advanced | Track: Internet of Things/Wearable Tech | Start Date: Wednesday, October 2, 2019 | Start Time: 4:00 PM | End Time: 4:30 PM | Location: OCCC W222B | Speakers: Paige Connelly	Vehicle ad hoc networks (VANETs) are intended to aid intervehicular communication. This presentation explains how cars might â€œtalkâ€ to each other and why VANETs would be useful. Current issues that have delayed the real-world deployment of VANETs are discussed. A proof-of-concept simulation is shown to demonstrate how a VANET might be set up, results are examined, and a path forward is considered.	N
Snap Games (Snap Inc.)	Wednesday, October 2, 2019 4:00 PM	Wednesday, October 2, 2019 4:15 PM	UTC-4	Technology Showcase Theater, OCCC Expo Hall WB4	Start Date: Wednesday, October 2, 2019 | Start Time: 4:00 PM | End Time: 4:15 PM | Location: Technology Showcase Theater, OCCC Expo Hall WB4	Do some of your best childhood memories involve playing games? Fighting over the best controller or endless laughter during battles with your friends? We've brought that magic to Snapchat with the launch of Snap Games! We've also introduced Snap Games for Developers - a collection of tools and technologies that support game developers including the Play Canvas HTML5 game engine, Snap Canvas SDK for easy integration into the app, and Snap Game Services to host, scale, and operate game servers.	N
SP713: Security Forecast: Is It Cloudy?	Wednesday, October 2, 2019 4:00 PM	Wednesday, October 2, 2019 4:30 PM	UTC-4	OCCC WF3	Audience Level: Advanced | Track: Security/Privacy | Focus Area: Security and Privacy Aspects of the Advanced CyberInfrastructure (CI) | Start Date: Wednesday, October 2, 2019 | Start Time: 4:00 PM | End Time: 4:30 PM | Location: OCCC WF3 | Speakers: Brittany Doncaster	Serverless Computing is the key to moving fast AND staying secure in the cloud. In this session, I will describe clear steps and methods that security teams can use to ease the transition to cloud using AWS Lambda. I'll stay away from theory, and instead show the direct application of Lambda for event driven security automation and remediation.	N
CR121: Make Some Room: An Innovative Approach to Unconscious Bias Training (Repeat)	Wednesday, October 2, 2019 4:15 PM	Wednesday, October 2, 2019 4:45 PM	UTC-4	Hyatt Regency Ballroom O	Audience Level: All | Track: Career | Focus Area: Inclusion and Cultural Awareness | Start Date: Wednesday, October 2, 2019 | Start Time: 4:15 PM | End Time: 4:45 PM | Location: Hyatt Regency Ballroom O | Speakers: Pavani Yalla, Kathryn Beane	Traditional unconscious bias training programs often fall short. Seeing an opportunity to marry story, space, and technology in pursuit of more heartening outcomes, we designed an immersive intervention. Audio stories from real employees and wearable technology turn an office into an interactive story-scape, where participants understand what bias feels like rather than simply learn about it.	N
VR513: The Future is Augmented: Our AR Journey and What it Means for Humans (Repeat)	Wednesday, October 2, 2019 4:15 PM	Wednesday, October 2, 2019 5:15 PM	UTC-4	OCCC W304G	Audience Level: Beginning | Track: Virtual, Augmented, and Mixed Reality | Focus Area: The Future Impact of Immersive Technologies, Applications of Immersive Technologies | Start Date: Wednesday, October 2, 2019 | Start Time: 4:15 PM | End Time: 5:15 PM | Location: OCCC W304G | Speakers: Timoni West, Aleissia Laidacker, Kayla Kinnunen, Silka Miesnieks, Lydia Choy	"Technologists are asking themselves, ""How will humans interact with computers when augmented reality is ubiquitous?"" and ""What will those protocols and systems look like?"" With the advent of consumer AR wearables, we truly have an opportunity to build the spatial interfaces of tomorrow. This panel will examine the systems, infrastructure, and tools needed to make spatial computing a reality."	N
CR228: Unlocking Creativity Through Diversity (Repeat)	Wednesday, October 2, 2019 4:15 PM	Wednesday, October 2, 2019 4:45 PM	UTC-4	Hyatt Plaza International Ballroom H	Audience Level: Early Career | Track: Career | Focus Area: The Future of Work | Start Date: Wednesday, October 2, 2019 | Start Time: 4:15 PM | End Time: 4:45 PM | Location: Hyatt Plaza International Ballroom H | Speakers: Sarah Yang	"Research indicates creativity is the most in-demand soft skill in the marketplace. LinkedIn noted after a study of thousands of job postings that, ""while robots are great at optimizing old ideas, organizations most need creative employees who can conceive the solutions of tomorrow."" Through the lens of diversity, Sarah's talk will inspire you to unlock your creativity in and out of the workplace."	N
AZ540: Adventures in Scaling: The Humans Behind Supervised Machine Learning	Wednesday, October 2, 2019 4:15 PM	Wednesday, October 2, 2019 4:45 PM	UTC-4	OCCC W311F	Audience Level: Beginning | Track: Products A to Z | Focus Area: Conceptualization | Start Date: Wednesday, October 2, 2019 | Start Time: 4:15 PM | End Time: 4:45 PM | Location: OCCC W311F | Speakers: Megan DeLaunay, Erin Babinsky	Supervised machine learning requires a large set of human labeled data. But how do teams gather the data needed to train their models? In this presentation, we'll present different methods for gathering human labeled data and consider the pros and cons of each approach. We'll provide case studies on different tools for the job, all of which are built to enable human data labeling at scale.	N
HI569: Ethical Design: Principles And Practice	Wednesday, October 2, 2019 4:15 PM	Wednesday, October 2, 2019 5:15 PM	UTC-4	OCCC W230C	Audience Level: Beginning | Track: Human Computer Interaction | Focus Area: Human Factors and Best Practices | Start Date: Wednesday, October 2, 2019 | Start Time: 4:15 PM | End Time: 5:15 PM | Location: OCCC W230C | Speakers: Sara Aboulafia, Lu Han, Shmo Chuang	In this workshop, we'll introduce the concept of ethical product design. Using our framework, we'll help participants anticipate when business-driven product decisions could harm users, and learn how to better include people at the margins. Participants will dive into a hands-on exercise that challenges them to use an ethical lens to improve upon the design and accessibility of a real-world app.	N
DS564: Designing Data Visuals That Sparkle: Building Insight You Can See (Repeat)	Wednesday, October 2, 2019 4:30 PM	Wednesday, October 2, 2019 5:30 PM	UTC-4	OCCC W415B	Audience Level: Beginning | Track: Data Science | Focus Area: Novel Applications, Use Cases, and Lessons Learned | Start Date: Wednesday, October 2, 2019 | Start Time: 4:30 PM | End Time: 5:30 PM | Location: OCCC W415B | Speakers: Amber Hoak, Kate Lytvynets, David Tittsworth	Do you deal with data but struggle to create data visuals that tell a story? Data visuals create impact and insight, particularly with big data. D3.js is a powerful open source SVG drawing library that empowers you to design complex visuals. Learn core concepts of SVG, binding data, adding animation sparkle, and optimization tips. Walk away with your own interactive, compelling data visual.	N
AI516: AI x Creativity: From Fashion to Perfumes!	Wednesday, October 2, 2019 4:30 PM	Wednesday, October 2, 2019 5:00 PM	UTC-4	OCCC W304C	Audience Level: Beginning | Track: Artificial Intelligence | Focus Area: AI Applications | Start Date: Wednesday, October 2, 2019 | Start Time: 4:30 PM | End Time: 5:00 PM | Location: OCCC W304C | Speakers: Pinar Yanardag	"In the midst of ""AI awakening"" where machines are becoming good at many ""human"" jobs, people are worried that AI will ultimately lead to mass unemployment. We believe that we can achieve the most creative outcomes when humans and machines work together.  By augmenting human capabilities and pushing the boundaries of creativity, can AI help us to create things that wouldn't have existed otherwise?"	N
CR134: How to Confront Sexists, Racists and Other Offenders Like a Boss (Repeat)	Wednesday, October 2, 2019 4:30 PM	Wednesday, October 2, 2019 5:30 PM	UTC-4	Hyatt Orlando Ballroom L	Audience Level: All | Track: Career | Focus Area: Inclusion and Cultural Awareness | Start Date: Wednesday, October 2, 2019 | Start Time: 4:30 PM | End Time: 5:30 PM | Location: Hyatt Orlando Ballroom L | Speakers: Jennifer Plummer, Marie Mendoza	Ever had someone say something offensive to you that rendered you speechless? Were you worried your response would be too emotional? Would you rather HR speak up for you? Did you think of the perfect response hours later? This workshop provides guidelines on how to professionally respond to offensive comments and allows practice through role play so you will not be caught off guard in the future.	N
CR312: Harnessing Your Super Powers (Repeat)	Wednesday, October 2, 2019 4:30 PM	Wednesday, October 2, 2019 5:00 PM	UTC-4	Hyatt Regency Ballroom R	Audience Level: Mid-Career | Track: Career | Focus Area: Inclusion and Cultural Awareness | Start Date: Wednesday, October 2, 2019 | Start Time: 4:30 PM | End Time: 5:00 PM | Location: Hyatt Regency Ballroom R | Speakers: Mai Le	Super Powers: we all dream of having them. Abilities that make us stronger, faster or invincible. While we may not be born with these supernatural powers, we can develop our own version of super powers - powers that make our whole selves stronger, faster and more resilient.	N
SE672: Building Performant Web Apps for Emerging Markets Using the First Principles Methodology	Wednesday, October 2, 2019 4:30 PM	Wednesday, October 2, 2019 5:00 PM	UTC-4	OCCC W224D	Audience Level: Intermediate | Track: Software Engineering | Focus Area: Architecture and Design of Large-Scale Software | Start Date: Wednesday, October 2, 2019 | Start Time: 4:30 PM | End Time: 5:00 PM | Location: OCCC W224D | Speakers: Ramitha Chitloor	"A question that comes up when building large scale web applications is, ""What is the right JavaScript library/framework to use?"" By breaking down the problem into its First Principles, we, at LinkedIn, were able to leverage newer technologies & tooling to build a traditional Server Side Rendered application as a Progressive Web Application - an original, successful solution for Emerging Markets."	N
CS503: 5G: Understanding the Next Big Disruption (Repeat)	Wednesday, October 2, 2019 4:30 PM	Wednesday, October 2, 2019 5:30 PM	UTC-4	OCCC W414A	Audience Level: Beginning | Track: Computer Systems Engineering | Focus Area: Building Blocks for the Future of Computing | Start Date: Wednesday, October 2, 2019 | Start Time: 4:30 PM | End Time: 5:30 PM | Location: OCCC W414A | Speakers: Sharada Panchagnula, Vanitha Kumar, Sanyogita Shamsunder, Caroline Chan, Qing Ye	The buzz around 5G has been steadily increasing since 2015. Tech companies have announced plans for solutions around 5G. What impact might 5G have on the wireless ecosystem? This panel will discuss attempts at several companies to enable 5G while answering the questions above. It will also discuss the opportunities that 5G can enable in adjacent areas such as AR/VR, Cloud storage, IoT, automotive.	N
Reception Celebrating Latinas in Technical Roles	Wednesday, October 2, 2019 4:30 PM	Wednesday, October 2, 2019 6:00 PM	UTC-4	Hyatt Plaza International Ballroom D	Audience Level: All | Track: Lunches and Receptions | Start Date: Wednesday, October 2, 2019 | Start Time: 4:30 PM | End Time: 6:00 PM | Location: Hyatt Plaza International Ballroom D	Promote and support Latina women technologists from industry, government, and academia. This reception event gives this community of women a chance to broaden their networks, connect with strong role models, and celebrate their accomplishments.	N
SE548: Creating an Inclusive Code Review Culture (Repeat)	Wednesday, October 2, 2019 4:45 PM	Wednesday, October 2, 2019 5:15 PM	UTC-4	OCCC W224A	Audience Level: Beginning | Track: Software Engineering | Focus Area: Architecture and Design of Large-Scale Software | Start Date: Wednesday, October 2, 2019 | Start Time: 4:45 PM | End Time: 5:15 PM | Location: OCCC W224A | Speakers: Kayla Kasprak	All developers have likely experienced the familiar dread surrounding code reviews - having to context switch to unblock a teammate's pull request or deciding how to move forward after a comment with which you disagreed. Guided by examples, this session will outline techniques to help you transform the code review culture of your team, improving code quality and working relationships simultaneously.	N
CS619: Building a Scalable Data Service Within a Volatile Ecosystem	Wednesday, October 2, 2019 4:45 PM	Wednesday, October 2, 2019 5:15 PM	UTC-4	OCCC W314A	Audience Level: Intermediate | Track: Computer Systems Engineering | Focus Area: Building Blocks for the Future of Computing | Start Date: Wednesday, October 2, 2019 | Start Time: 4:45 PM | End Time: 5:15 PM | Location: OCCC W314A | Speakers: Maddison Meier	Hulu's live TV streaming service changed the entertainment industry and exposed new challenges in the streaming technology space. This session explores Odin, Hulu's live TV solution for delivering up-to-date data at scale, with high availability. We showcase how Odin combined an asynchronous, event-driven, networking framework with the power of Reactive Streams to scale over 400%.	N
AI515: Detecting Poaching from the Sky: Using Machine Learning for Wildlife Conservation (Repeat)	Wednesday, October 2, 2019 4:45 PM	Wednesday, October 2, 2019 5:15 PM	UTC-4	OCCC WF4	Audience Level: Beginning | Track: Artificial Intelligence | Focus Area: AI Applications | Start Date: Wednesday, October 2, 2019 | Start Time: 4:45 PM | End Time: 5:15 PM | Location: OCCC WF4 | Speakers: Gracie Ermi	African parks are home to many species of threatened wildlife, with relatively small teams employed to protect them. This project uses machine learning (ML) to automatically analyze both daytime and nighttime (infrared) aerial imagery from the parks to then alert rangers to potential threats, allowing for more efficient deployment of rangers to stop poaching and other illegal activity.	N
VR679: Blending AI Characters Into the Real-World Using Spatial Computing	Wednesday, October 2, 2019 4:45 PM	Wednesday, October 2, 2019 5:15 PM	UTC-4	OCCC W415A	Audience Level: Intermediate | Track: Virtual, Augmented, and Mixed Reality | Focus Area: The Future Impact of Immersive Technologies, Applications of Immersive Technologies | Start Date: Wednesday, October 2, 2019 | Start Time: 4:45 PM | End Time: 5:15 PM | Location: OCCC W415A | Speakers: Kathryn Scelina	What if a T-rex could eat with you at your table? In Project Create, one of the first experiences for the Magic Leap One, fish school in your living room and astronauts jump up furniture. Using navigation and AI solutions, a cast of characters show how virtual content can interact with the real-world and user. Learn about the challenges of adapting these techniques for use in spatial computing.	N
BRAID Welcome Reception (Invite Only)	Wednesday, October 2, 2019 5:00 PM	Wednesday, October 2, 2019 6:30 PM	UTC-4	OCCC W340A	Audience Level: Invite Only | Track: Invite Only | Start Date: Wednesday, October 2, 2019 | Start Time: 5:00 PM | End Time: 6:30 PM | Location: OCCC W340A	BRAID is a longitudinal research project that supports computer science departments with efforts to increase the percentage of women and underrepresented minority students in their undergraduate computing programs. This reception will provide a networking opportunity for students and faculty from the 15 BRAID institutions and the project’s corporate funders (IBM, Intel, Microsoft, and Qualcomm).	N
GHC Scholar Networking Reception (Invite Only)	Wednesday, October 2, 2019 5:00 PM	Wednesday, October 2, 2019 7:00 PM	UTC-4	OCCC WE2	Audience Level: Invite Only | Track: Invite Only | Start Date: Wednesday, October 2, 2019 | Start Time: 5:00 PM | End Time: 7:00 PM | Location: OCCC WE2	The kick off event for GHC Scholars to connect, learn about each other and start the conference with a celebration. This year we welcome over 950 GHC Scholars from around the world and the United States. The reception includes heavy appetizers, sponsors, and community building.	N
Mid-Career Women's Reception	Wednesday, October 2, 2019 5:30 PM	Wednesday, October 2, 2019 7:00 PM	UTC-4	Hyatt Windermere Ballroom X	Audience Level: Mid-Career | Track: Lunches and Receptions | Start Date: Wednesday, October 2, 2019 | Start Time: 5:30 PM | End Time: 7:00 PM | Location: Hyatt Windermere Ballroom X	Networking is important at any career stage and it is especially critical that mid-career women within the tech ecosystem have dedicated space to share ideas, information, and best practices. If you are an experienced mid-career contributor and are looking to share your successes, aspirations, and career journey with peers, join us for the Mid-Career Women’s Reception. This is an opportunity to mingle with women across multiple tech disciplines, learn from each other, and create a support system you can look to in the future.	N
Friends of AnitaB.org Reception (Invite Only)	Wednesday, October 2, 2019 6:00 PM	Wednesday, October 2, 2019 8:00 PM	UTC-4	Rosen Centre Grand Ballroom Foyer	Audience Level: Invite Only | Track: Invite Only | Start Date: Wednesday, October 2, 2019 | Start Time: 6:00 PM | End Time: 8:00 PM | Location: Rosen Centre Grand Ballroom Foyer	This reception gives AnitaB.org an opportunity to show our gratitude to the partner companies, board members, keynote speakers, and award winners that make GHC the premier gathering for women technologists. During this event, you'll have the opportunity to hear from President & CEO Brenda Wilkerson and have the opportunity to connect with fellow GHC community members and special guests.	N
Systers & Local Community Leadership Dinner (Invite Only)	Wednesday, October 2, 2019 7:00 PM	Wednesday, October 2, 2019 8:00 PM	UTC-4	OCCC W203B	Audience Level: Invite Only | Track: Invite Only | Start Date: Wednesday, October 2, 2019 | Start Time: 7:00 PM | End Time: 8:00 PM | Location: OCCC W203B	By invitation only. Dinner to kick-off GHC and celebrate accomplishments of Local Community Leadership and Systers Affinity Groups. Attendees will have the opportunity to hear their community's upcoming events, HopperX1's, and other accomplishments. Leaders will network with other community leaders and discuss collaborations or ideas for events that other communities have implemented.	N
2019 Technical Executive Forum (TEF) (Invite Only)	Thursday, October 3, 2019 7:15 AM	Thursday, October 3, 2019 5:30 PM	UTC-4	Hyatt Windermere Ballroom W	Audience Level: Invite Only | Track: Invite Only | Start Date: Thursday, October 3, 2019 | Start Time: 7:15 AM | End Time: 5:30 PM | Location: Hyatt Windermere Ballroom W	TEF is an invite-only, full day event for C-level technical executives and limited Diversity, Equity, and Inclusion (DEI) leaders from AnitaB.org Partner companies. As a key Organizational Transformation (OT) program, TEF is designed to guide organizations in their efforts to create more diverse and inclusive workplaces to retain and advance women in technology and computing.	N
MSI Community Recognition Breakfast (Invite Only)	Thursday, October 3, 2019 7:30 AM	Thursday, October 3, 2019 9:00 AM	UTC-4	Hyatt Plaza International Ballroom D	Audience Level: Invite Only | Track: Invite Only | Start Date: Thursday, October 3, 2019 | Start Time: 7:30 AM | End Time: 9:00 AM | Location: Hyatt Plaza International Ballroom D	The Minority Serving Institution (MSI) Community Recognition Breakfast is an unsponsored, invite-only thank you breakfast for the early supporters of AnitaB.org efforts to better serve women from the greater MSI community. Invitees include inaugural scholarship funders and valued stakeholders from MSI communities.	N
Academic Advisory Council Meeting (invite only)	Thursday, October 3, 2019 7:30 AM	Thursday, October 3, 2019 8:30 AM	UTC-4	Rosen Centre Salon 1	Audience Level: Invite Only | Track: Invite Only | Start Date: Thursday, October 3, 2019 | Start Time: 7:30 AM | End Time: 8:30 AM | Location: Rosen Centre Salon 1	The Academic Advisory Council Meeting is an invite only breakfast meeting for the members of the Academic Advisory Council. The purpose is for members to provide feedback and plan for faculty and student programing for the upcoming year.	N
Hoppers Lounge	Thursday, October 3, 2019 8:00 AM	Thursday, October 3, 2019 6:00 PM	UTC-4	OCCC W209C	Audience Level: Invite Only | Track: Lounge | Start Date: Thursday, October 3, 2019 | Start Time: 8:00 AM | End Time: 6:00 PM | Location: OCCC W209C	The Hoppers Lounge is a room where Hoppers only can take breaks, and chat with other Hoppers.	N
Communities Hall (Day 2)	Thursday, October 3, 2019 9:00 AM	Thursday, October 3, 2019 5:30 PM	UTC-4	Hyatt Florida Ballroom B	Audience Level: All | Track: Communities | Start Date: Thursday, October 3, 2019 | Start Time: 9:00 AM | End Time: 5:30 PM | Location: Hyatt Florida Ballroom B	"Please join us in the Communities Hall to network, participate in professional development, collaborate with your peers, discuss future plans, and join a community of your choice. This dedicated space focuses on highlighting the skills, activities, accomplishments, and expertise of our Community Leader Volunteers and members of each community.  Come by to spend time with our Community Hall Sponsors: Discover, Google, FullStory, and Medidata. We are looking forward to facilitating connections, building relationships, and providing a greater opportunity to grow all AnitaB.org communities. Programming9:00am-9:30am Networking ChaCha Slide
10:00am-12:00pm Pass It On Award Winner Presentations and Demos
1:00pm-2:00pm How to Get Started as a Technical Entrepreneur
2:15pm-3:15pm Empowering Men to be Allies of Tech Equity3:30pm-4:30pm Women in Tech at the United Nations
4:45pm-5:30pm Get Involved with Systers 
Community Fair
9:30am-11am Amsterdam; Minneapolis; Northern New Jersey; Chinese Women In Computing; Systers IETF; Anita|Bees11:30am-1:00pm Atlanta; New York City; Australia; Filipinas Women In Computing; Turkish Women In Computing; Best of Systers Blog1:30pm -3pm Austin; Portland; New Zealand; Women in Cybersecurity; Vietnamese Women In Computing; Anita's Quilt3:30pm – 5:00pm Boston; Seattle; Arab Women In Computing; Systers in Government; Pass It On Awards 
Meetups/Socials
10:30-11:30 Meetup/Social Celebrating Pakistani Women in Technical Roles12pm-1pm Meetup/Social Celebrating the Local Community
1:30pm-2:30pm Meetup/Social Celebrating Native Women and Systers Spain in Technical Roles

3pm-4pm Meetup/Social Celebrating Iranian Women in Technical Roles

4:30-5:30 Meetup/Social Celebrating Asian Women in Technical Roles"	N
SE552: How to Build for AI-Enabled UI	Thursday, October 3, 2019 9:00 AM	Thursday, October 3, 2019 9:30 AM	UTC-4	OCCC W224A	Audience Level: Beginning | Track: Software Engineering | Focus Area: Trends and Future of Software Engineering | Start Date: Thursday, October 3, 2019 | Start Time: 9:00 AM | End Time: 9:30 AM | Location: OCCC W224A | Speakers: Romi Boimer, Surbhi Dangi	The future of front-end development is tightly linked with the explosion of AI services. In this talk, we will discuss do's and don'ts of creating a UI to enable people of different backgrounds become the architects of ML models. You will take away four key learnings from our experience and an array of examples that you can refer to as you implement AI experiences for expert and new user personas.	N
Membership Special Lounge (Inaugural Offer)	Thursday, October 3, 2019 9:00 AM	Thursday, October 3, 2019 5:30 PM	UTC-4	OCCC W306A	Audience Level: Invite Only | Track: Lounge | Start Date: Thursday, October 3, 2019 | Start Time: 9:00 AM | End Time: 5:30 PM | Location: OCCC W306A	"An exclusive lounge space that provides a premium experience for members of the AnitaB.org Membership Program. It is a comfortable place to ""camp out"" between sessions and meet people; and also a compelling reason for Grace Hopper Conference attendees to immediately join AnitaB.org Membership Program."	N
Speaker Lounge	Thursday, October 3, 2019 9:00 AM	Thursday, October 3, 2019 5:30 PM	UTC-4	OCCC W305	Audience Level: Invite Only | Start Date: Thursday, October 3, 2019 | Start Time: 9:00 AM | End Time: 5:30 PM | Location: OCCC W305	GHC speakers are invited to rest and recharge before and after their sessions. Another opportunity to network with other speakers or get some quiet time.	N
CR402: The Road to CIO	Thursday, October 3, 2019 9:00 AM	Thursday, October 3, 2019 10:00 AM	UTC-4	Hyatt Regency Ballroom V	Audience Level: Senior/Executive | Track: Career | Focus Area: Career Management Mastery | Start Date: Thursday, October 3, 2019 | Start Time: 9:00 AM | End Time: 10:00 AM | Location: Hyatt Regency Ballroom V | Speakers: Elizabeth Rodgers, Carol Jones, Tammy Choy, Theresa Bamrick	Three extraordinary women talk about their role, their priorities and responsibilities, and what it takes to be CIO. Not only are they extraordinary, they are minority women with diverse backgrounds leading the way in technology. All three are leaders in Federally Funded Research and Development Centers, organizations that set the course for innovation in technology, space, defense and science.	N
GHC Career Fair and Technology Showcase	Thursday, October 3, 2019 9:00 AM	Thursday, October 3, 2019 5:30 PM	UTC-4	OCCC Hall WA4/WB1	Audience Level: All | Start Date: Thursday, October 3, 2019 | Start Time: 9:00 AM | End Time: 5:30 PM | Location: OCCC Hall WA4/WB1	"GHC Expo is one of the most highly attended functions. It serve as an influential platform for companies, academics, governments, and industry experts to come together, share and learn information, hire qualified talents, network and build business relationships among women technologists. GHC Expo has hundreds of career fair and interview booths including poster sessions and Technology Showcase.

Badges are required to enter the Expo Halls."	N
Faculty Lounge	Thursday, October 3, 2019 9:00 AM	Thursday, October 3, 2019 5:30 PM	UTC-4	OCCC W209B	Audience Level: Faculty | Track: Lounge | Start Date: Thursday, October 3, 2019 | Start Time: 9:00 AM | End Time: 5:30 PM | Location: OCCC W209B	The Faculty Lounge is a place for faculty and academic staff to informally network, catch up on work, and grab a snack or drink. The Faculty Lounge will be open throughout the conference where faculty and any other attendees with an Academic registration can come relax and take a break.	N
Open Source Day Code-a-thon for Humanity	Thursday, October 3, 2019 9:00 AM	Thursday, October 3, 2019 5:30 PM	UTC-4	OCCC WF1	Audience Level: All | Track: Open Source | Start Date: Thursday, October 3, 2019 | Start Time: 9:00 AM | End Time: 5:30 PM | Location: OCCC WF1	"OSD provides attendees of all skill levels with the opportunity to collaborate and make a change. Join this code-a-thon to develop projects that improve the world we live in. Participants will use open source software (OSS) on these humanitarian projects and gain some practical coding skills, meet our sponsors, and network with others in this annual event!

Please note: we also have a need for designers and map editors for two of our projects. 
View the 2019 projects here!"	N
Student Lounge	Thursday, October 3, 2019 9:00 AM	Thursday, October 3, 2019 5:30 PM	UTC-4	OCCC W221C	Audience Level: Student | Track: Lounge | Start Date: Thursday, October 3, 2019 | Start Time: 9:00 AM | End Time: 5:30 PM | Location: OCCC W221C	"The Student Lounge is a fun, interactive space where students can gather between sessions. The space will feature comfortable seating and student-focused amenities. The Student Lounge will be open throughout the conference for students to convene, mingle, and relax. They may stop by anytime they like.

Sponsored by Amazon and Western Digital"	N
SP574: Can You Stay out of the Headlines? An Interactive Security Game.	Thursday, October 3, 2019 9:00 AM	Thursday, October 3, 2019 10:00 AM	UTC-4	OCCC W414A	Audience Level: Beginning | Track: Security/Privacy | Focus Area: Security Attacks and Defenses | Start Date: Thursday, October 3, 2019 | Start Time: 9:00 AM | End Time: 10:00 AM | Location: OCCC W414A | Speakers: Rachel Black, Kendall Costa, Sneha Regmi	We see it in the news everyday, story after story of an organization being breached. Why is security so hard? Participants of all backgrounds can try their luck in securing a fictional organization in our interactive game that challenges you to prioritize security projects within an ever changing threat landscape. Can you prevent your organization from making tomorrow's headline? Come find out!	N
Speakers Corner	Thursday, October 3, 2019 9:00 AM	Thursday, October 3, 2019 5:30 PM	UTC-4	AnitaB.org Booth (631)	Start Date: Thursday, October 3, 2019 | Start Time: 9:00 AM | End Time: 5:30 PM | Location: AnitaB.org Booth (631) | Speakers: Andrea Danyluk, Kathrin Nos, Catherine Spence, Gail Alverson, Stefanie Schmitt, Shailvi Wakhlu, Ellen Wong, Lusen Mendel, Dawn Wright, Jen Easterly, Yamilée Toussaint Beach, Ashley Mae Conard, Jhillika Kumar, Alyssia Jovellanos, Chiara Amisola, Mehul Smriti Raje, Aysegul Gunduz, A.J. Brush, Fei-Fei Li	Your Chance to Meet the Speakers! Stop by the AnitaB.org Booth #631 at the top of the hour to catch your favorite speakers in the Speakers Corner Theater. You’ll hear from ABIE Award winners, Keynote and Featured Speakers, and Academic and Tech Community Leaders in an intimate and informal setting.9:10 a.m. - 9:55 a.m. - Calling All Women Inventors with Ellen Wong, Gail Alverson, and Julie Ahkter10:00 a.m. – 10:45 a.m. - Prioritizing Happiness - Everyday! with Shailvi Tyagi Wakhlu11:00 a.m. – 11:45 a.m. – Meet and Greet with Featured Speaker Jen Easterly1:00 p.m. – 1:45 p.m. - Abie Awards 15th Anniversary with Abie Award Winners Yamilee Toussaint Beach, Dr. Fei-Fei Li, 2015-2019 Student of Vision Panelists, and Ayesul Gundoz2:00 p.m. – 2:45 p.m. – Technical Career Advancement with Catherine Spence3:00 p.m. – 3:45 p.m. - Negotiating and Advocating for Yourself as a Candidate with Lusen Mendel4:00 p.m. – 4:45 p.m. - Mid-Career: Stay, Change or Retire with A.J. Brush and Andrea Danyluk5:00 p.m. – 5:30 p.m. - Zooming in on Your First Job with Kathrin Nos and Stefanie Schmitt	N
Increasing Women and Underrepresented Minorities in Computing: The Landscape and What You Can Do	Thursday, October 3, 2019 9:00 AM	Thursday, October 3, 2019 9:45 AM	UTC-4	OCCC W230C	Audience Level: All | Track: Special Session | Start Date: Thursday, October 3, 2019 | Start Time: 9:00 AM | End Time: 9:45 AM | Location: OCCC W230C | Speakers: Telle Whitney, Valerie Taylor	Technology creation still lacks significant participation from women, under-represented minorities and people with disabilities – over half of the population. How to create meaningful change? Experts in the audience briefly discuss evidence-based strategies and the actions that can be taken to bring about change, including K-12, higher education, the tech workforce, and faculty.	N
Interview Hall	Thursday, October 3, 2019 9:00 AM	Thursday, October 3, 2019 5:30 PM	UTC-4	OCCC Hall WD2	Start Date: Thursday, October 3, 2019 | Start Time: 9:00 AM | End Time: 5:30 PM | Location: OCCC Hall WD2	Have you scheduled an interview with one of our Sponsors? If the booth number that you will be interviewing in is numbered between 3000 - 5500 you will want to arrive with enough time to pass badge security and to find your interview location.	N
A Discussion on Building Teams as a Leader in Tech with Morgan DeBaun	Thursday, October 3, 2019 9:00 AM	Thursday, October 3, 2019 9:45 AM	UTC-4	OCCC Chapin Theater (Lvl 3)	Audience Level: All | Track: Featured Session | Start Date: Thursday, October 3, 2019 | Start Time: 9:00 AM | End Time: 9:45 AM | Location: OCCC Chapin Theater (Lvl 3) | Speakers: Morgan DeBaun	Morgan will share her story of moving to Silicon Valley, raising venture funding, launching a company and now growing Blavity Inc. to include a portfolio brands. She will be an open book to answer any questions to help support aspiring and current founders scale their businesses.	N
